"Datum","Uhrzeit","Type","LS","Event","EventSec","pseudodate","EventC","Year"
2020-08-13,"02:04:24","LichtS","A","aus",7464,"2020-08-12",-1,"2020"
2020-08-13,"02:04:24","LichtS","A","ein",7464,"2020-08-12",1,"2020"
2020-08-13,"02:04:27","LichtS","A","aus",7467,"2020-08-12",-1,"2020"
2020-08-13,"02:04:29","LichtS","A","ein",7469,"2020-08-12",1,"2020"
2020-08-13,"02:04:32","LichtS","A","aus",7472,"2020-08-12",-1,"2020"
2020-08-13,"02:04:33","LichtS","A","ein",7473,"2020-08-12",1,"2020"
2020-08-13,"02:08:08","LichtS","A","aus",7688,"2020-08-12",-1,"2020"
2020-08-13,"02:08:23","LichtS","A","ein",7703,"2020-08-12",1,"2020"
2020-08-13,"02:08:26","LichtS","A","ein",7706,"2020-08-12",1,"2020"
2020-08-13,"02:22:54","LichtS","A","ein",8574,"2020-08-12",1,"2020"
2020-08-13,"02:26:24","LichtS","A","aus",8784,"2020-08-12",-1,"2020"
2020-08-13,"02:26:34","LichtS","A","aus",8794,"2020-08-12",-1,"2020"
2020-08-13,"02:30:22","LichtS","A","aus",9022,"2020-08-12",-1,"2020"
2020-08-13,"02:30:29","LichtS","A","ein",9029,"2020-08-12",1,"2020"
2020-08-13,"02:33:11","LichtS","A","aus",9191,"2020-08-12",-1,"2020"
2020-08-13,"02:33:13","LichtS","A","aus",9193,"2020-08-12",-1,"2020"
2020-08-13,"02:33:13","LichtS","A","ein",9193,"2020-08-12",1,"2020"
2020-08-13,"02:33:13","LichtS","A","aus",9193,"2020-08-12",-1,"2020"
2020-08-13,"02:33:13","LichtS","A","ein",9193,"2020-08-12",1,"2020"
2020-08-13,"02:43:27","LichtS","A","ein",9807,"2020-08-12",1,"2020"
2020-08-13,"02:47:14","LichtS","A","aus",10034,"2020-08-12",-1,"2020"
2020-08-13,"02:47:15","LichtS","A","ein",10035,"2020-08-12",1,"2020"
2020-08-13,"02:47:25","LichtS","A","aus",10045,"2020-08-12",-1,"2020"
2020-08-13,"02:48:21","LichtS","A","ein",10101,"2020-08-12",1,"2020"
2020-08-13,"02:48:38","LichtS","A","aus",10118,"2020-08-12",-1,"2020"
2020-08-13,"02:49:46","LichtS","A","aus",10186,"2020-08-12",-1,"2020"
